libaec0_1.0.6-1+b1_amd64.deb MD5Sum:42611bf8032dad2d74c26d8dc084d322
libaom3_3.6.0-1+deb12u2_amd64.deb MD5Sum:faae50e521d9a6f39d96953961a2b1f9
libblas3_3.11.0-2_amd64.deb MD5Sum:b39744800600a80ae852251a16c03d09
libquadmath0_12.2.0-14+deb12u1_amd64.deb MD5Sum:82b5224e36c58f519837f7f4a224d89d
libgfortran5_12.2.0-14+deb12u1_amd64.deb MD5Sum:8a65db502e5fead6b00b77cb649547a6
liblapack3_3.11.0-2_amd64.deb MD5Sum:9f13955c7feaec22a05d6491c3bc2730
libarpack2_3.8.0-3_amd64.deb MD5Sum:8a6381bedc3a4e5eae4af899a804c8c5
libsuperlu5_5.3.0+dfsg1-2+b1_amd64.deb MD5Sum:304793a168ca3212c7240dc5cf68add3
libarmadillo11_1%3a11.4.2+dfsg-1_amd64.deb MD5Sum:0ec736fe1888c654c32c3812add9d61d
libsnappy1v5_1.1.9-3_amd64.deb MD5Sum:5867cae0b6dcc8238ac96d31523f2907
libblosc1_1.21.3+ds-1_amd64.deb MD5Sum:7f3b0f7da1e478f24df9069e4bfb9567
libboost-serialization1.74.0_1.74.0+ds1-21_amd64.deb MD5Sum:db154c4708c5a4641abfee7ee4ad3dad
libbrotli1_1.0.9-2+b6_amd64.deb MD5Sum:58aff9bd35bab67549bdc84eb7edffcf
libnghttp2-14_1.52.0-1+deb12u3_amd64.deb
libpsl5_0.21.2-1_amd64.deb MD5Sum:37ebfb57fdbf01631629ee9f36c8b478
librtmp1_2.4+20151223.gitfa8646d.1-2+b2_amd64.deb MD5Sum:d757abb668fc1ee0d9488805bfb4371e
libssh2-1_1.10.0-3+b1_amd64.deb MD5Sum:14bb6443448b5fc0477e7c76ca9ba4a5
libcurl3-gnutls_7.88.1-10+deb12u14_amd64.deb MD5Sum:519c5af2270952ce9727d0c70cc87e75
libcfitsio10_4.2.0-3_amd64.deb MD5Sum:c9e785735af14b6a90fc80990a634eb2
libcurl4_7.88.1-10+deb12u14_amd64.deb MD5Sum:72a0750a6cbd7bf11a832966a933fe13
libdav1d6_1.0.0-2+deb12u1_amd64.deb MD5Sum:e041891f3cff962c8ecd994865318ee3
libde265-0_1.0.11-1+deb12u2_amd64.deb MD5Sum:27c287d4fd4e486eb99514cf973cef67
libdeflate0_1.14-1_amd64.deb MD5Sum:e505f1277c856889aa2b539320e3e154
libexpat1_2.5.0-1+deb12u2_amd64.deb MD5Sum:f5150efb6f21c50361fc1971ab8de870
libpng16-16_1.6.39-2+deb12u5_amd64.deb MD5Sum:68473ba62d4ba1ad8d4d5f22970ceee8
libfreetype6_2.12.1+dfsg-5+deb12u4_amd64.deb MD5Sum:8ee3bd604ace008bee4083b14746dedb
libfontconfig1_2.14.1-4_amd64.deb MD5Sum:522c4fa1fecd36d0f11eb6970fcd1364
libfreexl1_1.0.6-2_amd64.deb MD5Sum:7c2dce7741605298d647487bc584cf36
libfyba0_4.1.1-8_amd64.deb MD5Sum:972a096e93e0a5bc5b3e5ddcb839178a
libgeos3.11.1_3.11.1-1_amd64.deb MD5Sum:2cc7fd4a03bdcfcb6e8846054520280b
libgeos-c1v5_3.11.1-1_amd64.deb MD5Sum:e2a4c121ff086ade41053030e7069731
libjbig0_2.1-6.1_amd64.deb MD5Sum:5e126e3852ae239341c233a50690e2d6
libjpeg62-turbo_1%3a2.1.5-2_amd64.deb MD5Sum:c43c12e2144cad5b82c10d63dcc57ecd
liblerc4_4.0.0+ds-2_amd64.deb MD5Sum:100ad75d6812ac853407f24c40076b02
libwebp7_1.2.4-0.2+deb12u1_amd64.deb MD5Sum:19f6c9801f036b0615b9bf650c3ee1fa
libtiff6_4.5.0-6+deb12u4_amd64.deb MD5Sum:f283ac0d100dc6a749470b06e3908a8a
libproj25_9.1.1-1+b1_amd64.deb MD5Sum:c21fd1eb543b730bbb79ef8d0144b3d1
libgeotiff5_1.7.1-2+b1_amd64.deb MD5Sum:31740ac80f3b6d2fe054ae61de84fb29
libgif7_5.2.1-2.5_amd64.deb MD5Sum:2dc4f441af51115e5f8367d7d6e9b50a
libtirpc-common_1.3.3+ds-1_all.deb MD5Sum:e49aca93814724ed80fa8932a1f7523b
libtirpc3_1.3.3+ds-1_amd64.deb MD5Sum:b759d3e9dc474c3404da044249e84d2b
libhdf4-0-alt_4.2.15-5_amd64.deb MD5Sum:b4c73847eedba3a520ee217208efe6cc
libsz2_1.0.6-1+b1_amd64.deb MD5Sum:6ab72da8580d02d7cb0d8c968fc83c36
libhdf5-103-1_1.10.8+repack1-1_amd64.deb MD5Sum:99fa047a59160d481d5c8623e66d5b5b
libx265-199_3.5-2+b1_amd64.deb MD5Sum:e34942e4ea1c8063121bb734849b2cc0
libheif1_1.15.1-1+deb12u1_amd64.deb MD5Sum:548fef31d81accc00bc48be783a6820c
libjson-c5_0.16-2_amd64.deb MD5Sum:f2f6ecf1d26a6e0716cc2cda7a542e52
libminizip1_1.1-8+deb12u1_amd64.deb MD5Sum:6b6bb50435ee99ca1c9b7da3afb88a56
liburiparser1_0.9.7+dfsg-2_amd64.deb MD5Sum:7cf05c028b38acd81c591e4f6a112f49
libkmlbase1_1.3.0-10_amd64.deb MD5Sum:ade5c0c1c3f065c907046e1bb2a25bab
libkmldom1_1.3.0-10_amd64.deb MD5Sum:0a4c395f2daf8f76507e0837a0660984
libkmlengine1_1.3.0-10_amd64.deb MD5Sum:9ae0159850a4bdb2cdaecf4d93b2f295
libmariadb3_1%3a10.11.14-0+deb12u2_amd64.deb MD5Sum:3df3e924e24c2732f336ebad560f6c81
libhdf5-hl-100_1.10.8+repack1-1_amd64.deb MD5Sum:16fd3bf27d8e53d8f65f5fe2b4585dbb
libnetcdf19_1%3a4.9.0-3+b1_amd64.deb MD5Sum:e73d40a2b2af5352e4451c844229c121
libltdl7_2.4.7-7~deb12u1_amd64.deb MD5Sum:a02756178c3360b03d56768e366357a4
libodbc2_2.3.11-2+deb12u1_amd64.deb MD5Sum:972c6044a881b768dc5c714bc41957b7
libodbcinst2_2.3.11-2+deb12u1_amd64.deb MD5Sum:7c3f95926a167983c8c79137fe6fdb6d
libogdi4.1_4.1.0+ds-6_amd64.deb MD5Sum:bca573b90eb2ef8e6fa4c7ab66c77927
libopenjp2-7_2.5.0-2+deb12u3_amd64.deb
liblcms2-2_2.14-2+deb12u1_amd64.deb MD5Sum:4a701d009079104e62992b219cee5f6e
libnspr4_2%3a4.35-1_amd64.deb MD5Sum:1f8e0fda3f2527e0051768abd071c2fe
libnss3_2%3a3.87.1-1+deb12u2_amd64.deb MD5Sum:1e66101d6c420e5999032e3f187282ed
libpoppler126_22.12.0-2+deb12u2_amd64.deb
libqhull-r8.0_2020.2-5_amd64.deb MD5Sum:781260a36cd4d65a86fc349f26b68338
